@RELATION deceptionSvm
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE class {../deception-audio/truth,../deception-audio/lie}

@DATA
0.047655,0.007460,2.966004,0.118147,0.162127,0.325174,0.015089,0.066077,-28.936928,2.276583,0.283888,0.044399,-0.191766,0.174140,-0.036025,-0.083937,-0.030581,-0.054648,-0.054185,-0.073928,-0.045725,0.023869,0.003910,0.055125,0.017484,0.014627,0.007031,0.108944,0.002997,0.005295,0.012586,0.025726,0.005029,0.045840,0.042202,0.010128,0.347063,0.043345,0.028337,0.392216,0.014896,0.074128,2.099632,0.697054,0.668218,0.423239,0.392617,0.344709,0.307040,0.281985,0.236208,0.216013,0.205699,0.195271,0.196080,0.029486,0.005174,0.057235,0.022258,0.017105,0.009802,0.106223,0.005106,0.007629,0.016212,0.023483,0.008298,0.027477,../deception-audio/lie
0.054412,0.016477,2.931371,0.113328,0.148880,0.383248,0.014641,0.075767,-27.044874,2.523284,0.079381,-0.425996,-0.066296,0.055046,-0.125969,-0.073323,-0.027705,-0.031565,-0.123944,-0.231931,-0.282191,0.053970,0.005456,0.025674,0.009277,0.008591,0.007146,0.020511,0.003302,0.003797,0.015580,0.043438,0.017306,0.028226,0.056175,0.018533,0.462355,0.050139,0.035312,0.495138,0.011233,0.088916,2.671187,1.177806,0.685932,0.506894,0.381346,0.381592,0.283023,0.266864,0.230352,0.208265,0.215074,0.232362,0.253634,0.053061,0.008103,0.029674,0.012115,0.010324,0.008982,0.027349,0.006139,0.005574,0.016500,0.039126,0.022981,0.015746,../deception-audio/lie
0.045111,0.015921,2.994277,0.107832,0.152680,0.315133,0.013271,0.063292,-28.496146,2.516411,-0.051931,0.210788,0.003854,0.056308,-0.029349,-0.072022,0.010491,-0.040462,-0.084775,-0.081831,-0.081645,0.022432,0.002971,0.057232,0.015706,0.010716,0.007486,0.089819,0.002126,0.005446,0.014679,0.038416,0.005300,0.040159,0.036134,0.021168,0.340286,0.034675,0.031396,0.317386,0.010728,0.059290,2.201162,0.714161,0.600391,0.338329,0.415088,0.327040,0.277098,0.219355,0.216197,0.166205,0.158761,0.166560,0.170913,0.024918,0.003906,0.053551,0.017472,0.008193,0.009154,0.066222,0.002739,0.006999,0.013332,0.030395,0.006775,0.019307,../deception-audio/lie
0.054106,0.012692,2.947318,0.111299,0.145755,0.371032,0.012173,0.075526,-27.378709,2.232918,-0.156279,-0.384905,0.069837,0.089433,-0.250410,-0.027229,-0.067447,-0.149081,-0.208940,-0.306668,-0.244423,0.043675,0.008386,0.039961,0.020849,0.011459,0.007478,0.018521,0.004696,0.004713,0.010690,0.028845,0.012392,0.027300,0.049547,0.019810,0.486383,0.044075,0.032309,0.458870,0.009368,0.080431,2.961117,1.077408,0.739105,0.520912,0.424996,0.375987,0.338736,0.263035,0.228856,0.245674,0.244680,0.258799,0.244866,0.041689,0.012152,0.038134,0.026638,0.015121,0.010244,0.026792,0.008308,0.007161,0.012397,0.029366,0.016470,0.015748,../deception-audio/lie
0.055628,0.007675,2.921631,0.115174,0.149821,0.392221,0.011877,0.076978,-28.276713,2.428293,0.071085,-0.246766,0.054590,-0.009259,-0.097140,-0.087167,-0.003276,-0.082181,-0.150481,-0.251557,-0.302020,0.066463,0.005905,0.032793,0.009520,0.007932,0.007373,0.022769,0.003126,0.003988,0.011356,0.037804,0.015575,0.029745,0.053284,0.008151,0.513821,0.046610,0.034066,0.452716,0.009860,0.084718,2.631892,1.051857,0.676008,0.521575,0.368813,0.347047,0.274323,0.257964,0.215790,0.213574,0.209283,0.234565,0.243070,0.057369,0.009129,0.034025,0.012045,0.008352,0.009118,0.025134,0.005246,0.005024,0.011290,0.035203,0.017458,0.016172,../deception-audio/lie
0.051606,0.010935,2.974828,0.113812,0.150344,0.356890,0.015883,0.071177,-28.415431,2.205760,-0.112065,-0.288672,-0.316828,-0.019442,-0.115737,-0.265529,-0.212678,-0.292630,-0.202538,-0.105710,0.050625,0.010650,0.005396,0.041945,0.034251,0.036524,0.019702,0.036872,0.003095,0.007649,0.010805,0.015266,0.004837,0.031615,0.043185,0.010228,0.385547,0.038180,0.030187,0.378970,0.014808,0.070482,2.164545,0.758034,0.665680,0.439247,0.417489,0.363778,0.328377,0.299686,0.263825,0.272564,0.329206,0.315687,0.280584,0.014121,0.008888,0.039210,0.039029,0.040832,0.031588,0.034056,0.005324,0.011108,0.012686,0.014074,0.006041,0.015545,../deception-audio/lie
0.038918,0.004234,3.102753,0.094138,0.134158,0.371184,0.008571,0.065319,-27.745079,1.975118,0.511851,0.039078,0.020066,0.183949,0.033102,0.041073,0.025843,-0.160216,-0.063218,-0.072837,-0.224811,0.034596,0.002537,0.049003,0.007552,0.012107,0.005099,0.048030,0.001549,0.002311,0.012527,0.067732,0.003677,0.035584,0.025724,0.004096,0.200867,0.024472,0.035375,0.335714,0.005517,0.056983,1.712886,0.711926,0.520093,0.445916,0.323572,0.289005,0.238388,0.240570,0.216296,0.216160,0.211719,0.201695,0.238530,0.030479,0.002917,0.039819,0.008361,0.011213,0.005813,0.043207,0.001905,0.002715,0.010898,0.043045,0.004807,0.013626,../deception-audio/lie
0.029973,0.016633,3.072761,0.090657,0.140734,0.284688,0.009486,0.049115,-25.185487,2.110162,0.603095,0.145244,0.045918,0.194841,-0.024298,0.019988,0.018925,-0.186169,-0.144943,-0.104665,-0.180075,0.037396,0.001486,0.055395,0.006279,0.009452,0.005509,0.057976,0.000887,0.001956,0.012843,0.079375,0.002225,0.038937,0.017796,0.015656,0.187085,0.020589,0.031336,0.267857,0.006328,0.046651,1.336772,0.617269,0.456446,0.395150,0.300181,0.269000,0.253536,0.248624,0.204887,0.195896,0.178569,0.194479,0.187275,0.033174,0.001402,0.036746,0.005348,0.008428,0.006559,0.053352,0.001050,0.001884,0.011666,0.053099,0.002336,0.012375,../deception-audio/lie
0.032898,0.002644,3.051500,0.090051,0.136688,0.278133,0.008365,0.050008,-28.481074,2.071384,0.351581,0.251997,0.077667,0.206621,0.031632,0.006799,0.074511,-0.134161,-0.134021,-0.075794,-0.163785,0.034392,0.002286,0.067215,0.009913,0.017050,0.006223,0.077152,0.001405,0.002096,0.009615,0.053247,0.002978,0.040560,0.020150,0.002663,0.189176,0.023691,0.034572,0.249331,0.005016,0.043250,1.708531,0.638534,0.490553,0.385536,0.344850,0.271088,0.239869,0.230067,0.203055,0.191889,0.193062,0.193729,0.210024,0.031216,0.002777,0.041733,0.011083,0.015137,0.007946,0.056723,0.002006,0.002208,0.007663,0.037949,0.003191,0.014623,../deception-audio/lie
0.035661,0.007792,3.057303,0.092522,0.138591,0.293546,0.008443,0.051889,-27.117984,2.053846,0.388649,0.212662,0.049673,0.214139,0.038869,0.086693,0.072058,-0.067140,-0.051966,-0.029230,-0.160984,0.025342,0.002082,0.058447,0.005597,0.015579,0.006485,0.074152,0.001774,0.002173,0.012682,0.065520,0.003905,0.039516,0.021523,0.007254,0.211536,0.023319,0.034028,0.253663,0.005163,0.046834,1.376322,0.591215,0.499020,0.360874,0.314083,0.265383,0.233594,0.226384,0.195439,0.196206,0.193664,0.182976,0.198497,0.023742,0.002290,0.041049,0.005749,0.012366,0.007742,0.050832,0.003070,0.002564,0.010782,0.042025,0.004598,0.012842,../deception-audio/lie
0.041991,0.002362,3.018481,0.096569,0.131704,0.392558,0.007579,0.062859,-29.456004,1.813747,0.404177,0.120614,0.146336,0.111977,-0.020747,0.124176,0.042337,-0.139821,-0.141891,-0.082434,-0.130456,0.025537,0.002504,0.063716,0.010733,0.014894,0.007831,0.093949,0.001074,0.002005,0.007864,0.048822,0.003218,0.041767,0.022175,0.002302,0.227789,0.023085,0.032296,0.280992,0.004562,0.051887,1.362549,0.548047,0.412501,0.403289,0.295663,0.231748,0.214158,0.197629,0.194214,0.207206,0.187129,0.199398,0.219006,0.025683,0.002948,0.047552,0.012459,0.012856,0.010569,0.057069,0.001161,0.002108,0.007187,0.037391,0.004026,0.014980,../deception-audio/lie
0.027660,0.030761,3.099292,0.092446,0.146502,0.226046,0.009867,0.035388,-25.488561,2.196058,0.647285,0.356497,0.183091,0.161440,-0.063393,0.029725,0.031233,-0.152601,-0.146626,-0.157452,-0.202016,0.080443,0.001303,0.052833,0.005992,0.010628,0.003025,0.064154,0.000590,0.001438,0.010280,0.061499,0.002808,0.047103,0.018280,0.025672,0.172945,0.023623,0.034712,0.214845,0.007196,0.039690,1.152077,0.475963,0.407477,0.314375,0.279040,0.247271,0.214368,0.194799,0.190107,0.198100,0.198015,0.196387,0.189470,0.057705,0.001440,0.046898,0.005510,0.008672,0.003397,0.046712,0.000674,0.001395,0.008248,0.042446,0.002979,0.014950,../deception-audio/lie
0.040041,0.003965,3.100676,0.095062,0.137393,0.362718,0.008226,0.064724,-27.722876,1.984684,0.346373,0.134877,0.102538,0.192899,0.011375,-0.004708,0.067744,-0.116623,-0.097542,-0.115469,-0.198699,0.040024,0.002975,0.036749,0.007124,0.017092,0.004142,0.054531,0.001630,0.002660,0.015297,0.054416,0.005685,0.034178,0.024398,0.003847,0.218813,0.023227,0.033478,0.302698,0.004990,0.052023,1.658119,0.713410,0.542610,0.417079,0.307119,0.286253,0.245392,0.223016,0.215765,0.213377,0.217816,0.216852,0.221822,0.037070,0.003758,0.031894,0.007490,0.013122,0.004301,0.050539,0.001883,0.002657,0.013467,0.040353,0.007597,0.015051,../deception-audio/lie
0.058732,0.018952,3.085617,0.138228,0.171204,0.399538,0.010153,0.082004,-25.579619,2.246513,-0.195802,-0.376207,-0.309810,-0.198991,-0.243282,-0.228718,-0.016339,-0.219118,-0.242282,-0.311741,-0.446234,0.048204,0.012151,0.035722,0.022683,0.011684,0.007642,0.008641,0.005716,0.006779,0.015075,0.018660,0.013099,0.025861,0.051943,0.016538,0.251281,0.053676,0.023861,0.463212,0.008540,0.100377,1.440046,0.611573,0.563637,0.514576,0.387187,0.359354,0.265175,0.242121,0.260407,0.226697,0.229751,0.196576,0.235534,0.040879,0.015329,0.028225,0.024732,0.012448,0.009060,0.008382,0.010374,0.008175,0.018498,0.019611,0.017743,0.012722,../deception-audio/lie
0.055610,0.007852,3.081604,0.133127,0.169740,0.344446,0.009105,0.072232,-27.605862,2.484059,-0.156772,-0.296692,-0.256020,-0.085326,-0.361601,-0.215138,0.027279,-0.134834,-0.085341,-0.158349,-0.262681,0.046172,0.006891,0.022667,0.015583,0.015690,0.010323,0.012120,0.003720,0.009252,0.025101,0.033489,0.010101,0.023200,0.042751,0.009861,0.207529,0.047795,0.023533,0.350248,0.007057,0.079823,1.839769,0.538611,0.446416,0.400880,0.322840,0.321164,0.280240,0.211328,0.262437,0.212941,0.198223,0.199341,0.201941,0.036227,0.008296,0.019797,0.016400,0.014595,0.010281,0.010490,0.004699,0.010355,0.028555,0.028542,0.013138,0.010509,../deception-audio/lie
0.058843,0.014028,3.075694,0.132004,0.165095,0.364075,0.010095,0.080865,-26.389051,2.307899,-0.318010,-0.298763,-0.245700,-0.029380,-0.467569,-0.260083,0.047547,-0.125066,-0.003057,-0.149853,-0.288561,0.034912,0.005670,0.018627,0.012707,0.011868,0.007862,0.010081,0.003575,0.013896,0.028745,0.028578,0.009625,0.021104,0.048797,0.015606,0.240273,0.051745,0.022433,0.404255,0.007812,0.088704,1.630518,0.574686,0.505403,0.420903,0.319175,0.353329,0.309558,0.223612,0.249719,0.232448,0.222454,0.205172,0.221230,0.033060,0.006488,0.017965,0.013892,0.011279,0.008995,0.009258,0.004945,0.015900,0.031287,0.025523,0.011815,0.011531,../deception-audio/lie
0.063001,0.016145,3.054734,0.143218,0.173657,0.402645,0.010047,0.086227,-26.266398,2.400684,-0.194021,-0.360495,-0.257516,-0.120344,-0.389472,-0.280986,0.049797,-0.085191,-0.001077,-0.137217,-0.267440,0.036244,0.004384,0.019006,0.010671,0.011327,0.008025,0.010308,0.003744,0.012801,0.030131,0.031746,0.011283,0.021463,0.055770,0.017999,0.275539,0.058173,0.022941,0.463129,0.008354,0.108129,1.678828,0.530735,0.466831,0.443583,0.308283,0.339437,0.298570,0.225134,0.270825,0.233457,0.224082,0.206113,0.198864,0.029219,0.004731,0.018837,0.011241,0.010776,0.008466,0.009281,0.005463,0.014234,0.034655,0.028713,0.015485,0.011543,../deception-audio/lie
0.066031,0.009853,3.054519,0.143172,0.169061,0.431475,0.009580,0.093247,-26.745705,2.233977,-0.201921,-0.393887,-0.272550,-0.071796,-0.361130,-0.229312,0.051904,-0.146737,-0.039196,-0.165550,-0.289861,0.035777,0.006954,0.017514,0.010591,0.011632,0.009521,0.009172,0.003890,0.011332,0.027304,0.031803,0.012488,0.021548,0.057024,0.010564,0.310374,0.060047,0.024040,0.488034,0.007494,0.108633,1.652644,0.610952,0.548236,0.458314,0.334187,0.346913,0.297389,0.243732,0.270035,0.228570,0.215126,0.218657,0.217488,0.032711,0.009289,0.017188,0.012414,0.012144,0.011452,0.008573,0.005860,0.014320,0.032545,0.031907,0.016967,0.011641,../deception-audio/lie
0.068039,0.010108,3.041849,0.143353,0.169129,0.443647,0.009988,0.096075,-26.615941,2.247706,-0.276089,-0.348990,-0.258072,-0.141842,-0.406812,-0.274605,0.050577,-0.084978,0.011844,-0.121262,-0.253634,0.031260,0.005049,0.015557,0.011533,0.010830,0.009129,0.010101,0.003466,0.018361,0.026815,0.027124,0.010422,0.020063,0.058455,0.011459,0.268086,0.058416,0.024748,0.468125,0.007917,0.102221,1.764536,0.570047,0.540118,0.465771,0.314649,0.301502,0.310273,0.235195,0.294321,0.227710,0.233813,0.215566,0.206738,0.027118,0.006561,0.016433,0.012866,0.012096,0.010897,0.009596,0.005006,0.020889,0.030324,0.026401,0.012691,0.010911,../deception-audio/lie
0.065813,0.010965,3.060502,0.147934,0.175767,0.415056,0.006971,0.079386,-27.073089,2.179933,-0.263980,-0.263748,-0.150909,-0.085194,-0.353144,-0.236240,0.003968,-0.142587,-0.101848,-0.158535,-0.256067,0.046191,0.005886,0.027080,0.013582,0.011735,0.011734,0.009628,0.004231,0.009987,0.019942,0.027396,0.010987,0.021012,0.046472,0.013163,0.269192,0.046298,0.019871,0.384441,0.005032,0.086288,1.663491,0.470339,0.436350,0.380966,0.294670,0.289005,0.280781,0.243105,0.246657,0.201854,0.238704,0.222189,0.178895,0.034423,0.006800,0.023798,0.013267,0.011156,0.011069,0.008541,0.004336,0.009601,0.021546,0.022454,0.013868,0.010123,../deception-audio/lie
0.063673,0.011710,3.108435,0.141541,0.170872,0.409326,0.007134,0.084225,-27.015527,2.305200,-0.209295,-0.223566,-0.194801,-0.144444,-0.202704,-0.196733,-0.010271,-0.173475,-0.141492,-0.166700,-0.277096,0.053380,0.005587,0.024786,0.017244,0.015721,0.012129,0.010393,0.003371,0.008675,0.017003,0.029950,0.014609,0.023316,0.044592,0.012548,0.197458,0.047347,0.019633,0.352256,0.005374,0.082954,1.466016,0.419267,0.402045,0.377225,0.313528,0.306241,0.215273,0.223384,0.245409,0.200206,0.197492,0.178961,0.208324,0.036429,0.006736,0.020468,0.017445,0.014209,0.012951,0.007992,0.003437,0.009001,0.017645,0.024127,0.016441,0.010198,../deception-audio/lie
